gene	expression	threshold	direction	TH_id	Fay_id
RPL7	8.70262291608	8.70567190647125	down	TH50_5281_S01	Sample 4
RPS10-NUDT3	0	1.55608129501343	down	TH50_5281_S01	Sample 4
RPS11	9.0852599896	9.39202105998993	down	TH50_5281_S01	Sample 4
RPS12	8.12887075947	8.34663784503937	down	TH50_5281_S01	Sample 4
RPS23P8	2.37573453858	2.46406829357147	down	TH50_5281_S01	Sample 4
RPS24	9.29698501422	9.54363763332367	down	TH50_5281_S01	Sample 4
RPS27	8.94500481572	9.6525377035141	down	TH50_5281_S01	Sample 4
RPS27A	7.41996017785	7.71573603153229	down	TH50_5281_S01	Sample 4
RPS28P7	1.08406426479	6.10749572515488	down	TH50_5281_S01	Sample 4
RPS29	9.2300444604	9.55395257472992	down	TH50_5281_S01	Sample 4
RPS4X	7.62256436116	7.69143569469452	down	TH50_5281_S01	Sample 4
RPS7P1	1.09085343045	1.28260090947151	down	TH50_5281_S01	Sample 4
RPSAP58	1.33913738492	1.41265454888344	down	TH50_5281_S01	Sample 4
RSRP1	3.25096157353	3.29902642965317	down	TH50_5281_S01	Sample 4
S100A9	0.310340120612	0.837801486253738	down	TH50_5281_S01	Sample 4
SAFB	3.59215800213	4.00374799966812	down	TH50_5281_S01	Sample 4
SARNP	3.98913900737	4.54013985395432	down	TH50_5281_S01	Sample 4
SAT1	2.54596836911	3.18047040700912	down	TH50_5281_S01	Sample 4
SDCCAG3	2.54349588343	2.94870460033417	down	TH50_5281_S01	Sample 4
SFPQ	4.85947266685	5.06192123889923	down	TH50_5281_S01	Sample 4
SH3BGRL3	2.44095219803	2.44196581840515	down	TH50_5281_S01	Sample 4
SH3BP5-AS1	1.22650852981	1.65267986059189	down	TH50_5281_S01	Sample 4
SHFM1	3.16671544497	5.57123708724976	down	TH50_5281_S01	Sample 4
SLC22A5	1.89917563048	1.94596272706985	down	TH50_5281_S01	Sample 4
SLCO4A1	0.475084882949	1.40261840820312	down	TH50_5281_S01	Sample 4
SLX1B	0.565597175854	0.70135509967804	down	TH50_5281_S01	Sample 4
SNHG6	6.04570506451	6.25404191017151	down	TH50_5281_S01	Sample 4
SNN	3.53480866123	3.57621598243713	down	TH50_5281_S01	Sample 4
SNRNP35	3.63923216325	4.07291668653488	down	TH50_5281_S01	Sample 4
SNRNP70	5.31686980506	5.7696025967598	down	TH50_5281_S01	Sample 4
SNRPE	3.88752527074	4.04843777418137	down	TH50_5281_S01	Sample 4
SNRPF	1.7355221773	2.34266364574432	down	TH50_5281_S01	Sample 4
SPCS2P4	0.948600847493	1.55860850214958	down	TH50_5281_S01	Sample 4
SRP19	3.01613970266	3.91175419092178	down	TH50_5281_S01	Sample 4
SRRM2	6.89421146154	7.1804541349411	down	TH50_5281_S01	Sample 4
SRSF11	4.44757919655	4.791339635849	down	TH50_5281_S01	Sample 4
SRSF3	4.95233356637	5.00891947746277	down	TH50_5281_S01	Sample 4
SRSF5	5.54070926267	6.20713806152344	down	TH50_5281_S01	Sample 4
SRSF9	3.37851162325	3.38616454601288	down	TH50_5281_S01	Sample 4
SSB	3.65878273401	3.68129825592041	down	TH50_5281_S01	Sample 4
SSBP1	4.94345253856	4.953433573246	down	TH50_5281_S01	Sample 4
SSSCA1	3.65420637794	4.21805787086487	down	TH50_5281_S01	Sample 4
STAG3L5P-PVRIG2P-PILRB	3.06695024392	3.07582837343216	down	TH50_5281_S01	Sample 4
STX4	3.3645724323	3.80683356523514	down	TH50_5281_S01	Sample 4
TAF1C	2.28983446518	2.58607810735703	down	TH50_5281_S01	Sample 4
TAGLN	4.18824265626	4.27035224437714	down	TH50_5281_S01	Sample 4
TCEAL3	1.44360665148	1.8787813782692	down	TH50_5281_S01	Sample 4
TCEAL4	3.66789212523	4.13967382907867	down	TH50_5281_S01	Sample 4
TIMM44	4.64500988439	4.80256152153015	down	TH50_5281_S01	Sample 4
TMEM120A	3.42223300068	4.23024046421051	down	TH50_5281_S01	Sample 4
TNNT1	9.93618150409	9.97197687625885	down	TH50_5281_S01	Sample 4
TOMM7	7.84768378772	7.99256181716919	down	TH50_5281_S01	Sample 4
TRIM3	2.35332329116	2.40730330348015	down	TH50_5281_S01	Sample 4
TRMU	2.52606881167	2.57410100102425	down	TH50_5281_S01	Sample 4
TSR2	3.71259578045	3.78873091936111	down	TH50_5281_S01	Sample 4
TST	3.15055967658	3.20559793710709	down	TH50_5281_S01	Sample 4
TTN-AS1	6.32373033752	9.88646411895752	down	TH50_5281_S01	Sample 4
TUFM	5.93687346182	6.23668891191483	down	TH50_5281_S01	Sample 4
U2AF1	2.06695024392	3.34787273406982	down	TH50_5281_S01	Sample 4
U2AF1L4	2.85996954822	3.22675108909607	down	TH50_5281_S01	Sample 4
UBL5	6.91599885174	6.91627645492554	down	TH50_5281_S01	Sample 4
UPF3A	3.20633064787	3.59792333841324	down	TH50_5281_S01	Sample 4
UQCRHL	0.565597175854	1.18806540966034	down	TH50_5281_S01	Sample 4
USP11	2.85598969731	2.91935852169991	down	TH50_5281_S01	Sample 4
USP54	3.54349588343	4.41722667217255	down	TH50_5281_S01	Sample 4
UTP6	2.76341157447	2.83889693021774	down	TH50_5281_S01	Sample 4
WDR19	0.918386234446	0.921020835638046	down	TH50_5281_S01	Sample 4
XXbac-B461K10.4	0.344828496997	0.493330076336861	down	TH50_5281_S01	Sample 4
ZFP36	3.74523733213	4.16598117351532	down	TH50_5281_S01	Sample 4
ZFYVE27	1.42223300068	1.47889724373817	down	TH50_5281_S01	Sample 4
ZMAT2	4.42559357765	4.88675343990326	down	TH50_5281_S01	Sample 4
ZNF266	1.74416109557	1.75604233145714	down	TH50_5281_S01	Sample 4
ZNF276	1.81557542886	1.89220830798149	down	TH50_5281_S01	Sample 4
ZNF783	1.33913738492	1.42891356348991	down	TH50_5281_S01	Sample 4
ZRSR2	1.36737106565	1.9229719042778	down	TH50_5281_S01	Sample 4
ZSWIM8	3.87184364851	3.90444952249527	down	TH50_5281_S01	Sample 4
